Y2,X1,X2,X3,X4,X9,X10,X11,X12,X13,X14
204.2,0.23,0.78,0.4,13516,167.69,47750,45388,166.32,45514,17.72
209.6,0.24,0.75,0.26,17899,186.1,50391,45511,92.88,14.76,18.39
222.6,0.19,0.68,0.4,16072,220.45,43149,28004,158.04,17685,26.46
236.7,0.17,0.7,0.5,15342,169.3,41089,45542,93.96,21.96,22.37
62,0.23,0.62,0.4,12785,39.53,14257,12905,173.88,32448,28.13
53.1,0.43,0.76,0.19,14246,40.41,22661,45544,162.3,45455,17.55
172.1,0.31,0.73,0.25,42370,102.96,52509,45416,88.56,19299,21.92
56.5,0.26,0.71,0.44,46388,37.02,14903,32234,101.16,46966,19.52
52.6,0.49,0.69,0.17,42370,45.74,25587,16862,166.32,19299,23.99
46.6,0.36,0.73,0.39,45658,40.07,16821,45446,140.76,32.4,21.76
53.2,0.37,0.68,0.33,41275,45.44,19459,20515,128.52,19299,25.68
45321,0.43,0.74,0.25,45292,41.08,12973,23863,177.84,17.28,18.13
146.4,0.35,0.66,0.32,42005,136.14,50907,46844,114.48,45338,25.74
45309,0.38,0.72,0.02,44927,42.39,6920,31260,93.24,13.32,21.21
45456,0.42,0.68,0.06,14246,37.39,5736,19207,126.72,17.28,22.97
89.8,0.3,0.77,0.15,13881,101.78,26705,43647,91.8,26543,16.38
62.5,0.32,0.78,0.08,12785,47.35,20068,30042,69.12,45338,13.21
46.3,0.25,0.78,0.2,15342,32.61,11487,16923,66.24,24.84,14.48
103.5,0.31,0.81,0.2,13516,103.25,32029,45328,67.68,14.76,13.38
73.3,0.26,0.79,0.3,14977,38.95,18946,45748,59.4,20637,13.69
76.6,0.37,0.77,0.24,12785,81.32,28025,14001,70.56,23590,16.66
73.01,0.29,0.78,0.1,17533,67.26,20968,32264,72,23590,45458
32.3,0.34,0.72,0.11,45292,59.92,11049,46631,97.2,9,45555
199.6,0.23,0.79,0.47,45383,107.34,45893,13241,80.28,14.76,15.98
598.1,0.17,0.77,0.53,16438,512.6,99400,11597,51.48,45514,18.27
71.2,0.29,0.8,0.34,45383,53.81,20719,25294,105.12,14.76,14.42
90.8,0.41,0.71,0.2,46753,80.83,36813,42461,128.52,16346,22.76
82.1,0.41,0.79,0.24,12055,59.42,33956,41334,94.68,14.74,15.41
76.2,0.22,0.76,0.54,44562,36.96,17016,45326,85.32,20.52,19.35
119.5,0.29,0.78,0.4,46753,91.43,34873,45047,76.32,45396,16.83
45556,0.51,0.62,0.2,17168,17.16,11237,27061,153,24.84,30.53
48.4,0.36,0.75,0.64,46388,27.29,17306,45294,107.64,42675,17.98
173.5,0.23,0.71,0.42,18629,184.33,39250,16346,90.72,17685,45557
74.1,0.26,0.74,0.27,16803,58.42,19074,23863,82.44,26543,18.29
68.6,0.27,0.65,0.37,46388,59.4,18452,24624,79.92,45352,45438
60.8,0.29,0.66,0.38,15707,49.63,17500,33359,120.96,17685,45348
355.6,0.01,0.84,0.35,45413,391.27,7888,36465,84.6,45387,17.26
264.8,0.02,0.74,0.42,12785,258.62,58947,45359,85.32,45632,18.83
526.6,0.18,0.75,0.32,14977,75.66,94697,23012,101.52,23590,45492
118.6,0.25,0.75,0.33,17168,123.68,29626,34547,107.64,32448,16.87
37.1,0.31,0.79,0.29,12785,37.21,11688,30072,85.32,33786,14.63
57.7,0.38,0.72,0.3,45383,53.37,21955,45508,131.76,45514,22.17
51.6,0.24,0.7,0.56,45323,32.87,12243,45296,116.64,18.72,22.62
64.7,0.31,0.66,0.42,42005,45.63,20193,45630,138.24,13.68,26.44
48.3,0.42,0.69,0.26,45536,48.41,20122,45296,156.96,16.56,22.26
15,0.51,0.71,0.16,46023,13.58,7612,17958,137.52,14.76,19.13
87.5,0.31,0.73,0.45,13150,63.99,27404,43556,135.52,45329,18.28
108.4,0.37,0.65,0.31,42005,104.55,39648,45296,155.52,18.36,28.23
267.3,0.16,0.82,0.08,31778,222.11,43799,16377,48.6,46966,14580
34.2,0.18,0.8,0.68,42736,25.76,6235,24654,42.84,45396,30987
45530,0.43,0.83,0.03,22282,29.52,11524,24198,142.2,16.92,22859
43.6,0.4,0.7,0.02,12420,41.99,17309,45355,145.8,42675,45311
72,0.31,0.74,0.22,44562,78.11,22225,22798,120.52,14.76,19.41
