Y2,X1,X2,X3,X4,X9,X10,X11,X12,X13,X14
204.2,0.23,0.78,0.4,1.37,167.69,47750,6.4,166.32,10.08,17.72
209.6,0.24,0.75,0.26,1.49,186.1,50391,7.8,92.88,14.76,18.39
222.6,0.19,0.68,0.4,1.44,220.45,43149,9.76,158.04,6.48,26.46
236.7,0.17,0.7,0.5,1.42,169.3,41089,7.9,93.96,21.96,22.37
62,0.23,0.62,0.4,1.35,39.53,14257,5.35,173.88,11.88,28.13
53.1,0.43,0.76,0.19,1.39,40.41,22661,9.9,162.3,12.6,17.55
172.1,0.31,0.73,0.25,1.16,102.96,52509,4.5,88.56,11.52,21.92
56.5,0.26,0.71,0.44,1.27,37.02,14903,4.88,101.16,8.28,19.52
52.6,0.49,0.69,0.17,1.16,45.74,25587,3.46,166.32,11.52,23.99
46.6,0.36,0.73,0.39,1.25,40.07,16821,3.6,140.76,32.4,21.76
53.2,0.37,0.68,0.33,1.13,45.44,19459,3.56,128.52,11.52,25.68
30.1,0.43,0.74,0.25,1.1,41.08,12973,5.65,177.84,17.28,18.13
146.4,0.35,0.66,0.32,1.15,136.14,50907,4.28,114.48,16.2,25.74
18.1,0.38,0.72,0.02,1.23,42.39,6920,8.85,93.24,13.32,21.21
13.6,0.42,0.68,0.06,1.39,37.39,5736,8.52,126.72,17.28,22.97
89.8,0.3,0.77,0.15,1.38,101.78,26705,7.19,91.8,9.72,16.38
62.5,0.32,0.78,0.08,1.35,47.35,20068,4.82,69.12,16.2,13.21
46.3,0.25,0.78,0.2,1.42,32.61,11487,5.46,66.24,24.84,14.48
103.5,0.31,0.81,0.2,1.37,103.25,32029,6.2,67.68,14.76,13.38
73.3,0.26,0.79,0.3,1.41,38.95,18946,4.25,59.4,7.56,13.69
76.6,0.37,0.77,0.24,1.35,81.32,28025,5.38,70.56,8.64,16.66
73.01,0.29,0.78,0.1,1.48,67.26,20968,5.88,72,8.64,15.06
32.3,0.34,0.72,0.11,1.24,59.92,11049,9.27,97.2,9,20.09
199.6,0.23,0.79,0.47,1.4,107.34,45893,4.36,80.28,14.76,15.98
598.1,0.17,0.77,0.53,1.45,512.6,99400,10.31,51.48,10.08,18.27
71.2,0.29,0.8,0.34,1.4,53.81,20719,4.69,105.12,14.76,14.42
90.8,0.41,0.71,0.2,1.28,80.83,36813,4.16,128.52,10.44,22.76
82.1,0.41,0.79,0.24,1.33,59.42,33956,3.13,94.68,14.74,15.41
76.2,0.22,0.76,0.54,1.22,36.96,17016,4.02,85.32,20.52,19.35
119.5,0.29,0.78,0.4,1.28,91.43,34873,5.23,76.32,14.4,16.83
21.9,0.51,0.62,0.2,1.47,17.16,11237,2.74,153,24.84,30.53
48.4,0.36,0.75,0.64,1.27,27.29,17306,3.1,107.64,11.16,17.98
173.5,0.23,0.71,0.42,1.51,184.33,39250,10.44,90.72,6.48,22.09
74.1,0.26,0.74,0.27,1.46,58.42,19074,5.65,82.44,9.72,18.29
68.6,0.27,0.65,0.37,1.27,59.4,18452,6.67,79.92,3.24,26.05
60.8,0.29,0.66,0.38,1.43,49.63,17500,5.91,120.96,6.48,26.2
355.6,0.01,0.84,0.35,1.5,391.27,7888,11.99,84.6,5.4,17.26
264.8,0.02,0.74,0.42,1.35,258.62,58947,8.3,85.32,6.12,18.83
526.6,0.18,0.75,0.32,1.41,75.66,94697,1.63,101.52,8.64,19.7
118.6,0.25,0.75,0.33,1.47,123.68,29626,8.94,107.64,11.88,16.87
37.1,0.31,0.79,0.29,1.35,37.21,11688,5.82,85.32,7.92,14.63
57.7,0.38,0.72,0.3,1.4,53.37,21955,4.8,131.76,10.08,22.17
51.6,0.24,0.7,0.56,1.2,32.87,12243,5.01,116.64,18.72,22.62
64.7,0.31,0.66,0.42,1.15,45.63,20193,4.12,138.24,13.68,26.44
48.3,0.42,0.69,0.26,1.09,48.41,20122,5.1,156.96,16.56,22.26
15,0.51,0.71,0.16,1.26,13.58,7612,3.49,137.52,14.76,19.13
87.5,0.31,0.73,0.45,1.36,63.99,27404,4.19,135.52,7.02,18.28
108.4,0.37,0.65,0.31,1.15,104.55,39648,5.01,155.52,18.36,28.23
267.3,0.16,0.82,0.08,1.87,222.11,43799,11.44,48.6,8.28,12.39
34.2,0.18,0.8,0.68,1.17,25.76,6235,7.67,42.84,14.04,11.84
26.8,0.43,0.83,0.03,1.61,29.52,11524,4.66,142.2,16.92,8.62
43.6,0.4,0.7,0.02,1.34,41.99,17309,4.3,145.8,11.16,20.1
72,0.31,0.74,0.22,1.22,78.11,22225,6.62,120.52,14.76,19.41
